sample_id,question_index,question_index_1based,category,primary_cause,cause_confidence,graph_origin_coverage,retrieval_coverage,retrieval_coverage_label,gold_evidence_count,retrieved_gold_count,tool_calls,raw_prompt_count,raw_response_count,question,gold_answer,prediction,case_dir
conv-47,33,34,3,active_search_path_failure,high,1.0,0.0,none,1,0,19,12,12,Did John and James study together?,Yes,No,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-47/q034
conv-47,43,44,2,temporal_reasoning_failure,medium,1.0,1.0,full,1,1,5,8,8,When did John plan his next meeting with his siblings?,"In September, 2022",21 August 2022,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-47/q044
conv-47,44,45,3,active_search_path_failure,high,1.0,0.0,none,2,0,14,11,11,Why didn't John want to go to Starbucks?,Possibly because he likes to drink beer on his days off.,no information available,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-47/q045
conv-47,51,52,1,active_search_path_failure,high,1.0,0.0,none,6,0,29,13,13,Which new games did John start play during the course of the conversation with James?,"AC Valhalla, Witcher 3, FIFA 23, Dungeons of the Dragons, futuristic dystopian game",no information available,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-47/q052
conv-47,62,63,2,active_search_path_failure,high,1.0,0.0,none,3,0,17,11,11,How long did James and Samantha date for before deciding to move in together?,nearly three months,no information available,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-47/q063
conv-48,1,2,1,multi_hop_composition_failure,medium,1.0,1.0,full,3,3,16,10,10,Which of Deborah`s family and friends have passed away?,"mother, father, her friend Karlie","Deborah's mother, Deborah's dad, a friend (lost last week), and a friend (who wrote a quote)",result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-48/q002
conv-48,20,21,1,partial_retrieval_then_incomplete_answer,high,1.0,0.8,partial,5,4,4,6,6,Which games have Jolene and her partner played together?,"Detroit, Walking Dead, Battlefield 1, It Takes Two, Overcooked 2","Detroit, It Takes Two, Overcooked 2, Battlefield 1",result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-48/q021
conv-48,23,24,3,execution_or_schema_failure,high,1.0,0.0,none,2,0,0,5,5,Why did Jolene sometimes put off doing yoga?,She's more interested in playing video games,ERROR,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-48/q024
conv-48,36,37,3,active_search_path_failure,high,1.0,0.0,none,10,0,18,10,10,How old is Jolene?,likely no more than 30; since she's in school,no information available,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-48/q037
conv-48,45,46,2,active_search_path_failure,high,1.0,0.0,none,1,0,11,12,12,When did Jolene finish her robotics project?,May 2023,no information available,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-48/q046
conv-48,46,47,2,active_search_path_failure,high,1.0,0.0,none,3,0,14,11,11,How long did Jolene work on the robotics project given to her by her Professor?,four months,no information available,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-48/q047
conv-48,48,49,3,active_search_path_failure,high,1.0,0.0,none,1,0,21,10,10,Which US state did Jolene visit during her internship?,Alaska,no information available,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-48/q049
conv-48,81,82,2,active_search_path_failure,high,1.0,0.0,none,1,0,12,11,11,When did the Deboran and Jolene agree to go surfing?,in October 2023,no information available,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-48/q082
conv-48,86,87,1,partial_retrieval_then_incomplete_answer,high,1.0,0.4,partial,5,2,11,11,11,What gifts has Deborah received?,"an appreciate letter from her community, a flower bouqet from her friend, a motivational quote from a friend",a bouquet of flowers from a friend and a letter from her group members,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-48/q087
conv-48,88,89,1,partial_retrieval_then_incomplete_answer,high,1.0,0.6,partial,5,3,8,8,8,What activities does Deborah pursue besides practicing and teaching yoga?,"biking, going to art shows, running, organizing workshops to practice mindfulness and self-care, surfing, gardening","Meditation, morning jogging, running, spending time with loved ones, organizing workshops and events, going for walks, attending yoga retreats, leading meditation sessions for the elderly, playing card games, biking, visiting art shows, and running gardening classes.",result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-48/q089
conv-48,115,116,4,answer_synthesis_failure,medium,1.0,1.0,full,1,1,3,6,6,What activity does Deborah incorporate into her daily routine after going for a morning jog in the park?,spending time with loved ones,morning jog,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-48/q116
conv-48,134,135,4,active_search_path_failure,high,1.0,0.0,none,1,0,14,12,12,For how long has Jolene had Seraphim as a pet?,one year,no information available,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-48/q135
conv-48,188,189,4,active_search_path_failure,high,1.0,0.0,none,1,0,14,14,14,What outdoor activity did Jolene suggest doing together with Deborah?,Surfing,no information available,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-48/q189
conv-49,39,40,2,active_search_path_failure,high,1.0,0.0,none,2,0,14,10,10,How many months lapsed between Sam's first and second doctor's appointment?,three months,no information available,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-49/q040
conv-49,49,50,1,partial_retrieval_then_incomplete_answer,high,1.0,0.3333333333333333,partial,6,2,2,4,4,Who was injured in Evan's family?,Evan's son and Evan himself,Evan's son,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-49/q050
conv-49,102,103,4,active_search_path_failure,high,1.0,0.0,none,1,0,21,10,10,"What dish did Sam make on 18 August, 2023 that turned out flavorful?",grilled dish with salmon and vegetables,no information available,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-49/q103
conv-49,138,139,4,active_search_path_failure,high,1.0,0.0,none,1,0,19,10,10,What did Sam recently start enjoying to clear his head?,running in the mornings,going on car rides,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-49/q139
conv-50,11,12,1,active_search_path_failure,high,1.0,0.0,none,2,0,21,11,11,What mishaps has Calvin run into?,"flooding of his mansion, car accident",no information available,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-50/q012
conv-50,31,32,2,active_search_path_failure,high,1.0,0.0,none,2,0,14,9,9,Where was Dave in the last two weeks of August 2023?,San Francisco,no information available,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-50/q032
conv-50,80,81,4,active_search_path_failure,high,1.0,0.0,none,1,0,9,9,9,How does Calvin plan to jumpstart his inspiration?,explore other things and have some fun,"He watches music videos, concerts, and documentaries about artists and their creative process.",result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-50/q081
conv-50,120,121,4,active_search_path_failure,high,1.0,0.0,none,1,0,7,7,7,What does Dave aim to do with his passion for cars?,Take something broken and make it into something awesome,build a custom car from scratch,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-50/q121
